time,grid,algorithm,program,dt,mean_elev__change,max_elev__change,local_elev__max_change,net_flux
8500000,raster,tvd,ttlem,2500,0.000102862325604747,0.002437360348722,8.96202548096255,1.02862325884493e-09
8600000,raster,tvd,ttlem,2500,2.41679348960133e-05,0.00170455769193723,5.98504496923022,2.41679346672323e-10
8700000,raster,tvd,ttlem,2500,0.000142001368601541,0.00116798289741382,4.23661432086601,1.42001369245881e-09
8800000,raster,tvd,ttlem,2500,0.000631051218817902,0.000798384943891506,27.2224844174456,6.31051218561184e-09
8900000,raster,tvd,ttlem,2500,0.000482292639105708,0.000547268004538637,16.020567982071,4.82292639024226e-09
9000000,raster,tvd,ttlem,2500,0.000298399935161342,0.000376503321149357,11.3011615783262,2.98399935343418e-09
9100000,raster,tvd,ttlem,2500,0.000183779137444162,0.000259886595472381,8.67519346096589,1.83779137521398e-09
9200000,raster,tvd,ttlem,2500,0.000128347744805524,0.000179895652763662,5.94363173176481,1.2834774494648e-09
9300000,raster,tvd,ttlem,2500,0.00010421462030763,0.000124815323147232,3.81742067498868,1.04214619941913e-09
9400000,raster,tvd,ttlem,2500,9.20794906278388e-05,8.67653070599772e-05,2.33797112635347,9.20794910091541e-10
9500000,raster,tvd,ttlem,2500,8.22943144385135e-05,6.04096402412324e-05,1.37679369680973,8.22943144842938e-10
9600000,raster,tvd,ttlem,2500,6.84347828041609e-05,4.21138719275405e-05,0.786076825109831,6.84347823861894e-10
9700000,raster,tvd,ttlem,2500,5.50303300315136e-05,2.93901116492634e-05,0.438974475806219,5.50303302430943e-10
9800000,raster,tvd,ttlem,2500,4.34045110750958e-05,2.05281910439226e-05,0.241640526728645,4.34045107657098e-10
9900000,raster,tvd,ttlem,2500,2.97036514211868e-05,1.43484380714654e-05,0.131877876272938,2.97036515642163e-10
10000000,raster,tvd,ttlem,2500,2.00545485995463e-05,1.00347508578125e-05,0.0897869369453019,2.00545485566189e-10
10100000,raster,tvd,ttlem,2500,1.4815290739989e-05,7.02118347817304e-06,0.0637811427027941,1.48152908263116e-10
10200000,raster,tvd,ttlem,2500,8.43143476458863e-06,4.91448520278936e-06,0.0451754840915441,8.4314348363866e-11
10300000,raster,tvd,ttlem,2500,5.34548098585219e-06,3.4409539466651e-06,0.0319226770845944,5.34548095375431e-11
10400000,raster,tvd,ttlem,2500,5.05374913473133e-06,2.40983808907913e-06,0.02901372000116,5.05374901291116e-11
10500000,raster,tvd,ttlem,2500,2.04382189394892e-06,1.68804649547383e-06,0.0158603561692985,2.04382178411688e-11
10600000,raster,tvd,ttlem,2500,1.167229299881e-06,1.18263892545656e-06,0.0142547097827901,1.1672295231266e-11
10700000,raster,tvd,ttlem,2500,2.30846723070499e-06,8.28661995910807e-07,0.0290137200011031,2.30846733461731e-11
10800000,raster,tvd,ttlem,2500,2.29582610700163e-07,5.8069713304576e-07,0.0147590102182846,2.29582464637557e-12
10900000,raster,tvd,ttlem,2500,3.88152443520084e-08,4.06967387789336e-07,0.0142547097828185,3.88151034622197e-13
11000000,raster,tvd,ttlem,2500,1.50228220263671e-06,2.85232886199083e-07,0.0290137200011316,1.50228200250788e-11
